InterCoCC,Product,Month,Currency,Received Qty,Total
NL,HAT5310-18T,2023/1,EUR,2,1130.88
NL,HAT5310-8T,2023/1,EUR,3,766.08
NL,HAT5310-8T,2023/1,EUR,2,510.72
NL,HAT5310-8T,2023/1,EUR,1,255.36
NL,HAT5310-8T,2023/1,EUR,2,510.72
NL,HAT5310-8T,2023/1,EUR,5,1276.8
NL,HAT5310-8T,2023/1,EUR,6,1532.16
NL,HAT5310-8T,2023/1,EUR,6,1532.16
NL,HAT5310-8T,2023/1,EUR,4,1021.44
NL,M2D20,2023/1,EUR,1,145.92
NL,M2D20,2023/1,EUR,1,145.92
NL,MR2200AC,2023/1,EUR,3,309.18
NL,RKM114,2023/1,EUR,1,27.36
NL,RKM114,2023/1,EUR,1,27.36
NL,RKM114,2023/1,EUR,1,27.36
NL,RKM114,2023/1,EUR,1,27.36
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,5,342.0
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,6,410.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,2,136.8
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,3,205.2
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,2,136.8
NL,RKS-02,2023/1,EUR,2,136.8
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,2,136.8
NL,RKS-02,2023/1,EUR,4,273.6
NL,RKS-02,2023/1,EUR,1,68.4
NL,RKS-02,2023/1,EUR,1,68.4
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221+,2023/1,EUR,1,957.6
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,2,2608.32
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,1,1304.16
NL,RS1221RP+,2023/1,EUR,2,2608.32
NL,RS1619XS+,2023/1,EUR,1,1666.99
NL,RS2421+,2023/1,EUR,1,1475.62
NL,RS2421+,2023/1,EUR,1,1475.62
NL,RS2421RP+,2023/1,EUR,1,1823.09
NL,RS2421RP+,2023/1,EUR,1,1823.09
NL,RS2421RP+,2023/1,EUR,1,1823.09
NL,RS2421RP+,2023/1,EUR,1,1823.09
NL,RS2421RP+,2023/1,EUR,1,1823.09
NL,RS3621XS+,2023/1,EUR,1,3510.92
NL,RS3621XS+,2023/1,EUR,1,3510.92
NL,RS3621XS+,2023/1,EUR,1,3510.92
NL,RS3621XS+,2023/1,EUR,1,3510.92
NL,RS3621XS+,2023/1,EUR,1,3510.92
NL,RS4021XS+,2023/1,EUR,1,4386.34
NL,RS422+,2023/1,EUR,3,1668.96
NL,RS422+,2023/1,EUR,-1,-556.32
NL,RS422+,2023/1,EUR,1,556.32
NL,RS422+,2023/1,EUR,1,556.32
NL,RS422+,2023/1,EUR,1,556.32
NL,RS422+,2023/1,EUR,3,1668.96
NL,RS422+,2023/1,EUR,1,556.32
NL,RS422+,2023/1,EUR,1,556.32
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822+,2023/1,EUR,2,1676.26
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822+,2023/1,EUR,2,1676.26
NL,RS822+,2023/1,EUR,1,838.13
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RS822RP+,2023/1,EUR,1,1047.89
NL,RT2600AC,2023/1,EUR,3,480.0
NL,RX1217RP,2023/1,EUR,2,3082.56
NL,RX1217RP,2023/1,EUR,1,1541.28
NL,RX418,2023/1,EUR,1,433.2
NL,SAT5210-1920G,2023/1,EUR,6,2845.44
NL,SAT5210-1920G,2023/1,EUR,12,5690.88
NL,SAT5210-1920G,2023/1,EUR,8,3793.92
NL,SAT5210-1920G,2023/1,EUR,3,1422.72
NL,SAT5210-1920G,2023/1,EUR,3,1422.72
NL,SAT5210-3840G,2023/1,EUR,15,12996.0
NL,SAT5210-480G,2023/1,EUR,2,291.84
NL,SAT5210-960G,2023/1,EUR,1,264.48
NL,SNV3410-400G,2023/1,EUR,-2,-237.12
NL,SNV3410-400G,2023/1,EUR,2,237.12
NL,SNV3410-400G,2023/1,EUR,1,118.56
NL,SNV3410-400G,2023/1,EUR,2,237.12
NL,SNV3410-800G,2023/1,EUR,2,474.24
NL,SNV3410-800G,2023/1,EUR,-2,-474.24
NL,SNV3410-800G,2023/1,EUR,1,237.12
NL,SNV3510-400G,2023/1,EUR,1,136.8
NL,SNV3510-400G,2023/1,EUR,2,273.6
NL,WRX560,2023/1,EUR,3,573.0
NL,ADAPTER 100W_2,2023/2,EUR,1,39.52
NL,ADAPTER 100W_2,2023/2,EUR,1,39.52
NL,ADAPTER 100W_2,2023/2,EUR,3,118.56
NL,ADAPTER 100W_2,2023/2,EUR,5,197.6
NL,ADAPTER 100W_2,2023/2,EUR,1,39.52
NL,ADAPTER 60W_1,2023/2,EUR,7,94.85
NL,ADAPTER 60W_1,2023/2,EUR,1,13.55
NL,ADAPTER 60W_1,2023/2,EUR,1,13.55
NL,ADAPTER 60W_1,2023/2,EUR,2,27.1
NL,ADAPTER 60W_1,2023/2,EUR,15,203.25
NL,D3NS1866L-4G,2023/2,EUR,4,226.16
NL,D4EC-2666-16G,2023/2,EUR,2,625.64
NL,D4EC-2666-16G,2023/2,EUR,1,312.82
NL,D4EC-2666-16G,2023/2,EUR,2,625.64
NL,D4EC-2666-16G,2023/2,EUR,4,1251.28
NL,D4EC-2666-16G,2023/2,EUR,4,1251.28
NL,D4EC-2666-16G,2023/2,EUR,2,625.64
NL,D4EC-2666-8G,2023/2,EUR,6,913.8
NL,D4ECSO-2666-16G,2023/2,EUR,1,282.72
NL,D4ECSO-2666-16G,2023/2,EUR,1,282.72
NL,D4ECSO-2666-16G,2023/2,EUR,1,282.72
NL,D4ES01-16G:,2023/2,EUR,1,282.72
NL,D4ES01-16G:,2023/2,EUR,1,282.72
NL,D4ES01-16G:,2023/2,EUR,1,282.72
NL,D4ES01-8G,2023/2,EUR,2,291.84
NL,D4ES01-8G,2023/2,EUR,1,145.92
NL,D4ES02-4G,2023/2,EUR,3,191.52
NL,D4ES02-4G,2023/2,EUR,1,63.84
NL,D4ES02-4G,2023/2,EUR,2,127.68
NL,D4ES02-4G,2023/2,EUR,1,63.84
NL,D4ES02-4G,2023/2,EUR,1,63.84
NL,D4ES02-4G,2023/2,EUR,1,63.84
NL,D4ES02-4G,2023/2,EUR,1,63.84
NL,D4ES02-8G,2023/2,EUR,2,291.84
NL,D4NESO-2666-4G,2023/2,EUR,2,138.62
NL,D4NESO-2666-4G,2023/2,EUR,1,69.31
NL,D4NESO-2666-4G,2023/2,EUR,2,138.62
NL,D4NESO-2666-4G,2023/2,EUR,1,69.31
NL,D4NESO-2666-4G,2023/2,EUR,2,138.62
NL,D4NESO-2666-4G,2023/2,EUR,1,69.31
NL,D4NESO-2666-4G,2023/2,EUR,1,69.31
NL,D4NESO-2666-4G,2023/2,EUR,1,69.31
NL,DEVICE LICENSE PACK (1 LICENSE),2023/2,EUR,10,364.8
NL,DEVICE LICENSE PACK (1 LICENSE),2023/2,EUR,1,36.48
NL,DEVICE LICENSE PACK (1 LICENSE),2023/2,EUR,1,36.48
NL,DEVICE LICENSE PACK (1 LICENSE),2023/2,EUR,2,72.96
NL,DEVICE LICENSE PACK (4 LICENSES),2023/2,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/2,EUR,2,273.6
NL,DEVICE LICENSE PACK (4 LICENSES),2023/2,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/2,EUR,5,684.0
NL,DEVICE LICENSE PACK (4 LICENSES),2023/2,EUR,4,547.2
NL,DEVICE LICENSE PACK (8 LICENSES),2023/2,EUR,1,248.06
NL,DEVICE LICENSE PACK (8 LICENSES),2023/2,EUR,2,496.12
NL,DISK HOLDER_TYPE C,2023/2,EUR,11,34.32
NL,DISK HOLDER_TYPE C,2023/2,EUR,1,3.12
NL,DISK TRAY (TYPE D7),2023/2,EUR,1,4.16
NL,DS118,2023/2,EUR,10,1322.4
NL,DS118,2023/2,EUR,1,132.24
NL,DS118,2023/2,EUR,1,132.24
NL,DS120J,2023/2,EUR,4,313.72
NL,DS120J,2023/2,EUR,1,78.43
NL,DS120J,2023/2,EUR,-1,-78.43
NL,DS120J,2023/2,EUR,1,78.43
NL,DS1520+,2023/2,EUR,1,588.24
NL,DS1520+,2023/2,EUR,-1,-588.24
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1522+,2023/2,EUR,2,1176.48
NL,DS1522+,2023/2,EUR,2,1176.48
NL,DS1522+,2023/2,EUR,2,1176.48
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1522+,2023/2,EUR,1,588.24
NL,DS1621+,2023/2,EUR,1,780.67
NL,DS1621+,2023/2,EUR,1,780.67
NL,DS1621+,2023/2,EUR,1,780.67
NL,DS1621XS+,2023/2,EUR,1,1317.75
NL,DS1621XS+,2023/2,EUR,1,1317.75
NL,DS1621XS+,2023/2,EUR,1,1317.75
NL,DS1821+,2023/2,EUR,1,867.31
NL,DS1821+,2023/2,EUR,1,867.31
NL,DS1821+,2023/2,EUR,1,867.31
NL,DS1821+,2023/2,EUR,1,867.31
NL,DS1821+,2023/2,EUR,1,867.31
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,4,824.44
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,1,206.11
NL,DS218,2023/2,EUR,-1,-206.11
NL,DS218,2023/2,EUR,2,412.22
NL,DS218,2023/2,EUR,1,206.11
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,112,29111.04
NL,DS220+,2023/2,EUR,48,12476.16
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,2,519.84
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220+,2023/2,EUR,1,259.92
NL,DS220J,2023/2,EUR,1,146.83
NL,DS220J,2023/2,EUR,33,4845.39
NL,DS220J,2023/2,EUR,20,2936.6
NL,DS220J,2023/2,EUR,-1,-146.83
NL,DS220J,2023/2,EUR,1,146.83
NL,DS220J,2023/2,EUR,1,146.83
NL,DS2422+,2023/2,EUR,1,1562.26
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,5,1983.6
NL,DS420+,2023/2,EUR,2,793.44
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420+,2023/2,EUR,1,396.72
NL,DS420J,2023/2,EUR,1,237.12
NL,DS420J,2023/2,EUR,2,474.24
NL,DS620SLIM,2023/2,EUR,1,390.34
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,4,1568.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,1,392.0
NL,DS723+,2023/2,EUR,30,11760.0
NL,DS920+,2023/2,EUR,1,442.32
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,51,24633.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,7,3381.0
NL,DS923+,2023/2,EUR,10,4830.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,1,483.0
NL,DS923+,2023/2,EUR,13,6279.0
NL,DVA1622,2023/2,EUR,1,497.04
NL,DVA1622,2023/2,EUR,1,497.04
NL,DVA1622,2023/2,EUR,1,497.04
NL,DVA1622,2023/2,EUR,1,497.04
NL,DVA1622,2023/2,EUR,1,497.04
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T1,2023/2,EUR,2,224.36
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T1,2023/2,EUR,1,112.18
NL,E10G18-T2,2023/2,EUR,1,198.82
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G21-F2,2023/2,EUR,2,425.0
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G21-F2,2023/2,EUR,1,212.5
NL,E10G22-T1-MINI,2023/2,EUR,2,228.0
NL,E10G22-T1-MINI,2023/2,EUR,2,228.0
NL,E10G22-T1-MINI,2023/2,EUR,1,114.0
NL,E10G22-T1-MINI,2023/2,EUR,2,228.0
NL,E10M20-T1,2023/2,EUR,2,401.28
NL,E10M20-T1,2023/2,EUR,2,401.28
NL,E10M20-T1,2023/2,EUR,1,200.64
NL,E25G21-F2,2023/2,EUR,2,600.1
NL,FAN 92*92*25_1,2023/2,EUR,1,3.12
NL,FAN 92*92*25_1,2023/2,EUR,1,3.12
NL,HAT5300-12T,2023/2,EUR,1,392.16
NL,HAT5300-12T,2023/2,EUR,1,392.16
NL,HAT5300-12T,2023/2,EUR,4,1568.64
NL,HAT5300-12T,2023/2,EUR,8,3137.28
NL,HAT5300-12T,2023/2,EUR,3,1176.48
NL,HAT5300-16T,2023/2,EUR,-1,-519.84
NL,HAT5300-16T,2023/2,EUR,1,519.84
NL,HAT5300-16T,2023/2,EUR,8,4158.72
NL,HAT5300-16T,2023/2,EUR,-7,-3638.88
NL,HAT5300-16T,2023/2,EUR,4,2079.36
NL,HAT5300-16T,2023/2,EUR,2,1039.68
NL,HAT5300-16T,2023/2,EUR,1,519.84
NL,HAT5300-16T,2023/2,EUR,1,519.84
NL,HAT5300-16T,2023/2,EUR,2,1039.68
NL,HAT5300-4T,2023/2,EUR,9,1395.36
NL,HAT5300-4T,2023/2,EUR,4,620.16
NL,HAT5300-4T,2023/2,EUR,4,620.16
NL,HAT5300-4T,2023/2,EUR,2,310.08
NL,HAT5310-18T,2023/2,EUR,2,1130.88
NL,HAT5310-8T,2023/2,EUR,1,255.36
NL,HAT5310-8T,2023/2,EUR,8,2042.88
NL,HAT5310-8T,2023/2,EUR,2,510.72
NL,HAT5310-8T,2023/2,EUR,5,1276.8
NL,HAT5310-8T,2023/2,EUR,2,510.72
NL,HAT5310-8T,2023/2,EUR,20,5107.2
NL,M2D20,2023/2,EUR,1,145.92
NL,M2D20,2023/2,EUR,1,145.92
NL,M2D20,2023/2,EUR,1,145.92
