InterCoCC,Product,Month,Currency,Received Qty,Total
BE,RS1619XS+,2023/1,EUR,2,3333.98
BE,RS2421RP+,2023/1,EUR,1,1823.09
BE,RS2421RP+,2023/1,EUR,1,1823.09
BE,RS2421RP+,2023/1,EUR,1,1823.09
BE,RS2421RP+,2023/1,EUR,1,1823.09
BE,RS2421RP+,2023/1,EUR,1,1823.09
BE,RS2421RP+,2023/1,EUR,3,5469.27
BE,RS2821RP+,2023/1,EUR,1,2604.67
BE,RS3618XS,2023/1,EUR,1,2148.94
BE,RS3618XS,2023/1,EUR,1,2148.94
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,1,556.32
BE,RS422+,2023/1,EUR,2,1112.64
BE,RS822RP+,2023/1,EUR,1,1047.89
BE,RS822RP+,2023/1,EUR,1,1047.89
BE,RS822RP+,2023/1,EUR,1,1047.89
BE,RT6600AX,2023/1,EUR,1,245.33
BE,RX1217,2023/1,EUR,1,1030.56
BE,SA3600,2023/1,EUR,1,6142.72
BE,SAT5210-1920G,2023/1,EUR,4,1896.96
BE,SAT5210-960G,2023/1,EUR,1,264.48
BE,SNV3510-800G,2023/1,EUR,-1,-255.36
BE,SNV3510-800G,2023/1,EUR,-1,-255.36
BE,UC3200,2023/1,EUR,1,4825.9
BE,VS360HD,2023/1,EUR,1,346.56
BE,VS360HD,2023/1,EUR,1,346.56
BE,WRX560,2023/1,EUR,1,190.61
BE,WRX560,2023/1,EUR,1,190.61
DK,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
DK,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
DK,RKS-02,2023/1,EUR,1,68.4
DK,RKS-02,2023/1,EUR,1,68.4
DK,RKS-02,2023/1,EUR,1,68.4
DK,RKS-02,2023/1,EUR,1,68.4
DK,RKS-02,2023/1,EUR,3,205.2
ES,D4EC-2666-16G,2023/1,EUR,-2,-625.64
ES,D4EC-2666-16G,2023/1,EUR,-2,-625.64
ES,D4EC-2666-16G,2023/1,EUR,2,625.64
ES,D4EC-2666-16G,2023/1,EUR,2,625.64
ES,D4EC-2666-16G,2023/1,EUR,2,625.64
ES,D4EC-2666-16G,2023/1,EUR,4,1251.28
ES,D4EC-2666-8G,2023/1,EUR,1,152.3
ES,D4EC-2666-8G,2023/1,EUR,12,1827.6
ES,D4ECSO-2666-16G,2023/1,EUR,1,282.72
ES,D4ECSO-2666-16G,2023/1,EUR,2,565.44
ES,D4ECSO-2666-16G,2023/1,EUR,4,1130.88
ES,D4ES01-16G,2023/1,EUR,1,282.72
ES,D4ES01-16G,2023/1,EUR,1,282.72
ES,D4ES01-16G,2023/1,EUR,4,1130.88
ES,D4ES01-4G,2023/1,EUR,-1,-63.84
ES,D4ES01-4G,2023/1,EUR,1,63.84
ES,D4ES01-4G,2023/1,EUR,1,63.84
ES,D4ES01-8G,2023/1,EUR,1,145.92
ES,D4ES01-8G,2023/1,EUR,2,291.84
ES,D4ES02-8G,2023/1,EUR,1,145.92
ES,D4ES02-8G,2023/1,EUR,1,145.92
ES,D4NE-2666-4G,2023/1,EUR,1,61.1
ES,D4NE-2666-4G,2023/1,EUR,1,61.1
ES,D4NESO-2666-4G,2023/1,EUR,1,69.31
ES,D4NESO-2666-4G,2023/1,EUR,1,69.31
ES,DEVICE LICENSE (X 1),2023/1,EUR,2,72.96
ES,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
ES,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
ES,DS118,2023/1,EUR,-1,-132.24
ES,DS118,2023/1,EUR,2,264.48
ES,DS118,2023/1,EUR,2,264.48
ES,DS118,2023/1,EUR,2,264.48
ES,DS118,2023/1,EUR,2,264.48
ES,DS118,2023/1,EUR,2,264.48
ES,DS118,2023/1,EUR,5,661.2
ES,DS118,2023/1,EUR,10,1322.4
ES,DS118,2023/1,EUR,10,1322.4
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,1,78.43
ES,DS120J,2023/1,EUR,2,156.86
ES,DS120J,2023/1,EUR,3,235.29
ES,DS120J,2023/1,EUR,3,235.29
ES,DS120J,2023/1,EUR,3,235.29
ES,DS120J,2023/1,EUR,25,1960.75
ES,DS1522+,2023/1,EUR,-1,-588.24
ES,DS1522+,2023/1,EUR,-1,-588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
ES,DS1522+,2023/1,EUR,1,588.24
